Operator,Param original,σ bef decay,Unc. σ bef decay,σ Rwg ,Unc. σ Rwg,Rel Rwg Uncertainty %,Rel diff in % σ rwg
FM0vsFM1,,-2.81e-04,1.18e-06,-2.84e-04,6.11e-05,21.51,1.05
FM0vsFM2,,-8.40e-05,4.02e-07,-8.10e-05,2.99e-05,36.91,3.55
FM0,5.82e-12,4.28e-04,2.51e-06,4.25e-04,7.77e-05,18.28,0.77
FM1,9.10e-12,1.76e-04,2.25e-06,1.75e-04,1.86e-05,10.63,0.35
FM2,1.06e-11,1.30e-04,1.57e-06,1.28e-04,3.13e-05,24.45,1.16
FM3,1.62e-11,5.55e-05,6.38e-07,5.62e-05,6.46e-06,11.49,1.28
FM4,5.11e-12,5.54e-04,7.98e-06,5.56e-04,4.64e-05,8.35,0.36
FM5,6.96e-12,2.95e-04,6.73e-06,3.00e-04,1.86e-05,6.20,1.64
FM7,1.15e-11,1.09e-04,1.44e-06,1.09e-04,1.09e-05,10.00,0.05
FM8,1.14e-11,1.10e-04,1.21e-06,1.11e-04,9.90e-06,8.92,0.77
FM9,3.76e-12,1.03e-03,1.32e-05,1.01e-03,1.01e-04,10.00,1.96
